# Neurologia - baza pytan
# Format: Pytanie?|A|B|C|D|poprawna_litera

W obrazie klinicznym neuroboreliozy nie spotyka sie:|Neuropatii nerwow czaszkowych|Radikuloneuropatii|Zapalenia opon mozgowo-rdzeniowych|Wodoglowia|D
Guzy mozgu:|Najczestsze u doroslych to rdzeniaki i wysciolczaki|Moga dawac objawy wynikajace z lokalizacji oraz wzrostu cisnienia srodczaszkowego|Ich objawem nigdy nie sa napady padaczkowe|Wszystkie wymienione stwierdzenia sa prawdziwe|B
Do objawow wegetatywnych w Chorobie Parkinsona naleza:|Nadmierna czynnosc gruczolow lojowych, potowych, zaczerwienienie twarzy, zaburzenia czynnosci zwieraczy|Nadmierna czynnosc gruczolow lojowych, potowych, zaczerwienienie twarzy, bez zaburzen zwieraczy|Zmniejszone wydzielanie gruczolow skronych, suchosc w jamie ustnej, zaczerwienienie twarzy|Zmniejszone wydzielanie gruczolow skrnych i slinowych, zaburzenia czucia|A
Przelom cholinergiczny u chorego na miastenie jest najczesciej spowodowany:|Odstawieniem lekow cholinergicznych|Przedawkowaniem lekow cholinergicznych|Nadmiernym wysilkiem fizycznym|Przegrzaniem|B
Przeciwwskazania do badania rezonansu magnetycznego:|Stan po operacji tetniaka z klipsem ferromagnetycznym, metalowe cialo obce kolo narzadu waznego|Rozrusznik serca, implant wewnatrzslimakowy|Pierwszy trymestr ciazy, waga ponad 130 kg|Wszystkie odpowiedzi sa prawidlowe|D
Postepowanie pielegniarskie wobec pacjenta z zespolem zaniedbywania jednostronnego:|Angazowaniem tylko strony zaniedbywanej|Ustawieniem szafki przylozkoowej od strony zdrowej|Stosowaniem bodzcow akustycznych, wzrokowych i dotykowych kierujacych uwage na strone zaniedbywaana|Angazowaniem tylko strony zdrowej|C
Przygotowanie pacjenta do badania wzrokowych potencjalow wywolanych - wyjatkiem jest:|Umycia przed badaniem glowy|Niestosowania lakierow i zeli do ukladania wlosow|Farmakologicznego rozszerzenia zrenic|Zastosowanie okularow, jesli ich uzywa|C
Ryzyka wystapienia napadu padaczkowego nie zmniejsza:|Regularny tryb zycia, stale godziny snu i czuwania|Umiarkowana aktywnosc fizyczna i psychiczna|Spozywanie alkoholu|Systematyczne przyjmowanie lekow przeciwpadaczkowych|C
Jakie sa dzialania niepozadane glikokortykosteroidow:|Spadek cisnienia i obfita diureza|Podraznienie blony sluzowej zoladka i krwawienia oraz spadki cisnienia|Obfita diureza, biegunki bezsennosc i nadcisnienie tetnicze|Obrzeki, nadcisnienie, podraznienie blony sluzowej zoladka i bezsennosc|D
Niebezpieczenstwo gwaltownego obnizernia cisnienia u chorego ze swiezym udarem mozgu:|Poszerzenie ogniska niedokrwienia w wyniku spadku przeplywu mozgowego|Ukrwotocznienie ogniska niedokrwiennego w mozgu|Wystapienie wtornego krwotoku mozgowego|Podwyzszenie glikemii w organizmie chorego|A
W edukacji pacjenta z choroba Parkinsona przyjmujacego preparaty lewodopy nalezy ograniczyc:|Weglowodanowe|Wysokobialkowe|Tluszczowe|Witaminowe|B
Udar mozgu to:|Powoli narastajace naczyniopochodne zaburzenia funkcji mozgu utrzymujace sie dluzej niz 24h|Naczyniopochodne zaburzenia funkcji mozgu utrzymujace sie tylko do 24h|Nagle rozpoczynajace sie naczyniopochodne zaburzenia funkcji mozgu utrzymujace sie dluzej niz 24h|Wszystkie odpowiedzi|C
Do niemodyfikowalnych czynnikow ryzyka udaru NIE NALEZY:|Wiek|Plec|Nikotynizm|Rasa|C
Dzialanie NIEPRAWIDLOWE w przypadku zatrzymania moczu to:|Trening pecherzaa moczowego|Alkalizacja moczu|Cewnikowanie przerywane|Czeste badanie ogolne moczu|B
Dzialaniem zapobiegajacym ortostatycznym spadkom cisnienia u chorego z choroba Parkinsona nie jest:|Spanie z tukowiem i glowa uniesiona ok. 30-40 stopni|Zastosowanie diety ubogosolnej|Wstawanie z lozka na trzy tempa|Zadne z wymienionych|B
Actylise podajemy pacjentom jesli objawy udaru utrzymuja sie co najmniej:|30 minut|3 godziny|1,5 godziny|2 dni|A
Chory ma swiadomosc wystepowania zaburzenia afazji:|Czuciowej|Calkowitej|Ruchowej|Zadnej z wymienionych|C
Skale Katzmana stosuje sie do oceny sprawnosci pacjenta w:|Stwardnieniu rozsianym|Chorobach naczyniowych mozgu|Polineuropatii|Otepeniu|D
Objawem przelomu miastenicznego NIE JEST:|Tachykardia|Rozszerzenie zrenic|Zwezenie zrenic|Niepokoj|C
Dzialaniem nieprawidlowym w przypadku zaburzen polykania w przebiegu udarow nie jest:|Uzywanie kubkow z dziobkiem|Podawanie pokarmow latwo kruszacych sie i mocno rozdrobnionych|Podawanie posilkow przez sonde zoladkowa|Zadne z wymienionych|C
W edukacji pacjenta ze stwardnieniem rozsianym leczonym interferonami nalezy uwzglednic:|Objawy podwyzszonego cisnienia srodczaszkowego|Reakcje skorne w miejscu podania leku|Prawidlowa jest tylko odpowiedz a|Wszystkie odpowiedzi prawidlowe|D
Czynnikiem inicjujacym rzut choroby w stwardnieniu rozsianym moze byc:|Pora roku|Infekcje wirusowe|Nadmierny wysilek fizyczny|Wszystkie wymienione|D
Do przygotowania 4 litrow 5% roztworu uzytych zostanie:|150g substancji oraz 3750ml rozpuszczalnika|175g substancji oraz 3725ml rozpuszczalnika|200g substancji oraz 3800ml rozpuszczalnika|225g substancji oraz 4025ml rozpuszczalnika|C
Majac insuline 40 i strzykawke 2ml, podaj 12 jednostek insuliny:|0,3 ml|0,4 ml|0,6 ml|0,8 ml|A
Nie wystapila zadna zmiana lub rumien nie jest wiekszy niz w probie kontrolnej to:|Odczyn ujemny proby|Odczyn dodatni proby|Odczyn watpliwy proby|Brak prawidlowej odpowiedzi|A
Ubierajac pacjenta z niedowadem polowiczym nalezy:|Rozpoczynac wkladanie gornej czesci garderoby od reki pelnosprawnej|Wszystkie czynnosci zaczynac od niepelnosprawnej strony|Zdejmujac garderoby zawsze zaczynac od reki niepelnosprawnej|Wszystkie czynnosci zaczynac od pelnosprawnej strony|B
Wskaż twierdzenie nieprawidlowe dotyczace padaczki:|Pacjent z padaczka nie moze byc zawodowym kierowca|Pacjentka z padaczka moze urodzic zdrowe dziecko|Pacjentka z padaczka moze karmic dziecko piersia|Pacjent z padaczka moze uprawiac sporty ekstremalne|D
W przypadku zaburzen termoregulacji w udarach mozgowych stosuje sie:|Zimne oklady|Zawijanie w wilgotne przescieradla|Lod na okolice duzych naczyn|Wszystkie wymienione|D
Po operacji guzow mozgu obserwacja pielegniarskaa obejmuje:|Podstawowe parametry zyciowe|Stan swiadomosci|Sprawdzenie szerokosci zrenic i ich reakcje na swiatlo|Wszystkie wymienione|D
Wskaż twierdzenie NIEprawidlowe dotyczace stanu padaczkowego:|Stan padaczkowy jest stanem zagrozenia zycia|Stan padaczkowy powinien byc leczony na OIOM-ie|Podczas stanu padaczkowego nie podaje sie zadnych lekow|Pacjent w stanie padaczkowym powinien byc monitorowany|C
Celem kinezyterapii w sclerosis multiplex jest:|Zmniejszenie spastycznosci|Zmniejszenie bolow stawowych|Utrzymanie pelnego zakresu ruchow czynnych|Wszystkie wymienione|D
Dzialaniem NIEprawidlowym wobec pacjenta po punkcji ledwiowej jest:|Ulozenie go w pozycji plaskiej grzbietowej przez ok. 1 dobe|Podaz duzej ilosci plynow do picia|Ulozenie go w pozycji polsiedzacej|Ulozenie go w pozycji plaskiej na brzuchu przez ok 2h|C
Do objawow ubocznych interferonu NIE nalezy:|Objawy grypopodobne, nudnosci, wymioty|Miejscowe reakcje uczuleniowe|Wzmaga depresje, wzrasta ryzyko samobojstwa|Podnosi cisnienie srodczaszkowe|D
W napadzie padaczkowym kategorycznie zabronione jest:|Chwycenie za glowe w celu zapobiegania jej urazowi|Zapewnienie bezpieczenstwa|Niekrepowanie ruchow|Wkladanie jakiegokolwiek przedmiotu miedzy zeby|D
Nieprawidlowym dzialaniem w opiece nad pacjentem z zapaleniem opon mozgowo-rdzeniowych jest:|Umieszczenie go w oswietlonym pokoju|Odizolowanie go od nadmiernych halasow|Ulozenie go w pozycji redukujacej dolegliwosci bolowe|Stosowanie okladow chlodzacych|A
Dzialaniem NIEprawidlowym podczas udzielania pierwszej pomocy pacjentowi z uszkodzeniem rdzenia kregowego jest:|Zastosowanie wyciagu za glowe|Unieruchomienie ciala w pozycji grzbietowej|Lekkie uniesienie glowy ponad poziom podloza|Zalozenie kolnierza usztywniajacego|C
Zasada zapobiegania bolom krzyza NIE jest:|Codzienny 3 km marsz|Czeste chodzenie po nierownym terenie|Noszenie zakupow w plecaku|Unikanie duzych poduszek podczas lezenia na plecach|B
W leczeniu rekuboterapeutycznym ischialgii NIE stosuje sie pozycji:|Reischauera|Loeva|W nadwyproście|Fowlera|D
Bledem postepowania w napadzie padaczkowym NIE jest:|Izolacja zuchwy i szczeki w czasie aury|Budzenie ze snu ponapadowego|Ograniczenie ruchomosci podczas drgawek|Stosowanie metalowych przedmiotow do izolacji zuchwy|C
Dzialaniem zapobiegajacym zaparciom w SM NIE jest:|Przestrzeganie wlasciwej diety|Utrzymywanie aktywnosci fizycznej|Masowanie miesni brzucha|Wykonanie enemy|D
NIEprawidlowym postepowaniem wobec pacjenta z zapaleniem opon m-r jest:|Umieszczenie go w zacienionym pokoju|Odizolowanie go od nadmiernych bodzcow zewnetrznych|Ulozenie go w pozycjach redukujacych dolegliwosci bolowe|Stosowanie okladow rozgrzewajacych|D
Zaznacz twierdzenie prawdziwe dotyczace padaczki:|Wszystkie prawdziwe|Nie ma twierdzenia prawdziwego|Prawdziwe 1,2,4|Prawdziwe tylko 2|E
W przypadku slinotoku stosuje sie:|Czesta toalete jamy ustnej|Plukanie jamy ustnej srodkami odswiezajacymi|Zabezpieczenie skory wokol ust|Wszystkie wymienione|D
W pomocy dorازnej udzielanej pacjentowi z podejrzeniem udaru mozgu uwzgledniamy:|Tlenoterapie|Prowadzenie bilansu wodnego|Farmakologiczna profilaktyke przeciwzakrzepowa|Zadne z wymienionych|A
Dzialaniem NIEprawidlowym w przypadku zaburzen pecherzowych w przebiegu SM jest:|Prowadzenie treningu pecherzaa moczowego|Zakwaszanie moczu|Systematyczne stosowanie lekow moczopednych|Podaz plynow w ilosci ok 2l dziennie|C
Przygotowanie pacjenta do wykonania rezonansu magnetycznego obejmuje (bez kontrastu):|Pozostanie na czczo|Zalozenie wklucia dozylnego|Usuniecie wszelkich metalowych ozdob|Wszystkie wymienione|C
Zaznacz twierdzenie NIEprawdziwe dotyczace bolow krzyza:|Pacjent z bolami krzyza powinien nosic ciezary w obu rekach|Pacjent z bolami krzyza powinien dbac o utrzymanie wlasciwej masy ciala|Pacjent z bolami krzyza powinien spac na miekkich materacach|Pacjent z bolami krzyza nie powinien wykonywac prac przeciazajacych kregoslup|C
Zespol Guillaina-Barego to:|Ostra poliradikuloneuropatia zapalna|Przewlekla poliradikuloneuropatia zapalna|Wieloogniskowa neuropatia ruchowa z blokiem przewodzenia|Neuroborelioza|A
Przeciwwskazaniem do terapii trombolitycznej udaru mozgu nie jest:|Liczba plytek krwi ponizej 100 000 mm3|Bakteryjne zapalenie wsierdziaa|Nowotwor o wysokim ryzyku krwawienia|Obecnosc wczesnych objawow udaru niedokrwiennego w TK glowy|C
Wskaż twierdzenie nieprawdziwe dotyczace udaru mozgu:|Udar mozgu stanowi trzecia po chorobach serca i nowotworach przyczyne zgonow na swiecie|Rocznie w Polsce rejestruje sie okolo 70 000 nowych zachorowan na udar mozgu|Wspolczynniki zapadalnosci: 177 na 100 000 mezczyzn i 125 na 100 000 kobiet|72-86% udarow ma charakter krwotoczny|D
Obraz plynuu mozgowo-rdzeniowego typowy dla ostrej neuroinfekcji wirusowej to:|Plyn wodojasny, pleocytoza z przewaga granulocytow, bialko normalne lub podwyzszone, glukoza normalna|Plyn wodojasny, pleocytoza z przewaga limfocytow, bialko normalne lub podwyzszone, glukoza normalna|Plyn wodojasny, pleocytoza z przewaga granulocytow, bialko normalne lub nizsze, glukoza wyzsza|Plyn metny, pleocytoza z przewaga granulocytow, bialko podwyzszone, glukoza normalna|B
Najbardziej typowym przykladem otepienia podkorowego jest:|Choroba Creutzfeldta-Jacoba|Otepienie z cialami Lewyego|Choroba Binswangera|Pierwotna postepujaca afazja|C
Do lekow ktore moga wywolac ruchy plasawicze zaliczamy poza:|Lewodopa|Doustne srodki antykoncepcyjne|Metoklopramid|Gabapentyna|D
Otepienie korowe i podkorowe rozni:|Czas rozwoju objawow|Lokalizacja patologii|Mozliwa etiologia naczyniowa|Wszystkie powyzsze|B
Przykladem zespolu otepiennego z nadwrazliwoscia na neuroleptyki jest:|Otepienie czolowo-skroniowe|Otepienie z cialami Lewyego|Choroba Binswangera|Choroba Huntingtona|B
Napady nieswiadomosci w klasyfikacji padaczek naleza do:|Napadow czesciowych prostych|Napadow czesciowych zlozonych|Napadow pierwotnie uogolnionych|Napadow wtornie uogolnionych|C
W trakcie napadu padaczkowego moga wystapic objawy:|Ruchowe|Czuciowe|Wegetatywne|Wszystkie odpowiedzi sa prawidlowe|D
Wzmozoone napiecie miesniowe:|O charakterze sztywnosci wystepuje przy uszkodzeniu neuronu ruchowego|O charakterze spastycznosci wystepuje przy uszkodzeniu ukladu pozapiramidowego|Jest charakterystyczne dla uszkodzenia mozdzku|Wszystkie odpowiedzi sa prawidlowe|A
Zespol hiperotoniczno-hipokinetyczny:|Jest charakterystyczny dla uszkodzenia ukladu pozapiramidowego|Charakteryzuje sie wystepowaniem ruchow mimowolnych|Charakteryzuje sie obnizoonym napieciem miesniowym i zubozeniem czynnosci ruchowej|Prawidlowe A i B|A
Termin afazja oznacza:|Zaburzenia mowy pochodzenia korowego|Trudnosci w koordynacji ruchowej|Zaburzenia wykonywania wyuczonych ruchow zlozonych|Zaburzenia mowy z uszkodzenia aparatu artykulacji|A
W przebiegu niedowladu z uszkodzenia gornego motoneuronu nie obserwuje sie:|Spastycznosci|Sztywnosci pozapiramidowej|Wzmozenia odruchow scieggnistych|Objawow patologicznych Babinskiego|B
Agnozja jest zaburzeniem polegajacym na:|Utracie zdolnosci rozpoznania przedmiotow lub zdarzen|Utracie zdolnosci rozumienia mowy|Utracie zdolnosci edycji mowy|Utracie zdolnosci czytania|A
Do kryteriow rozpoznania otepienia nie nalezy:|Zaburzenia wyzszych funkcji nerwowych|Zaburzenia emocjonalne i zachowania|Objawy pozapiramidowe|Zaburzenia funkcjonowania spolecznego i zawodowego|C
Wskaż bledne stwierdzenie dotyczace lagodnych zaburzen poznawczych:|LZP zawsze poprzedzaja rozwoj procesu otepiennego|LZP moga poprzedzac rozwoj procesu otepiennego|LZP nie ograniczaja codziennego funkcjonowania|LZP zwiekszaja ryzyko rozwoju otepienia|A
Do lekow mogacych powodowac zespoly parkinsonowskie nie zaliczamy:|Amantadyny|Lekow przeciwdepresyjnych|Neuroleptyków|Flunaryzyny|A
Pacjentka 45 lat z narastajacym drzetwieniem stop po przebytej infekcji pokarmowej, niedowlad wiotki konczyn, rozszczepienie bialkowe-komorkowe w PMR. Rozpoznanie:|Uszkodzenie rdzenia kregowego|Miastenia|Stwardnienie zanikowe boczne|Zespol Guillaina-Barego|D
Choroba prionowa z obrazem otepiennym to:|PSP|Otepienie naczyniopochodne|Choroba Parkinsona|Choroba Creutzfeldta-Jacoba|D
Najczestsza przyczyna bakteryjnego zapalenia opon u doroslych w Polsce:|Naisseria meningitidis|Streptococcus pneumoniae|Listeria monocytogenes|Haemophilus influenzae|B
Zaburzenia swiadomosci nie wystepuja w trakcie:|Napadow wtornie uogolnionych|Napadow czesciowych prostych|Napadow czesciowo zlozonych|Wszystkie odpowiedzi sa falszywe|B
Wskaż nieprawidlowe zdanie dotyczace plynuu m-r w ostrych neuroinfekcjach:|W infekcji wirusowej stezenie glukozy jest prawidlowe lub nieco podwyzszone|W infekcji bakteryjnej stezenie bialka jest nieznacznie podwyzszone lub prawidlowe|W infekcji wirusowej dominuja limfocyty|W infekcji bakteryjnej cisnienie plynuu jest zwykle prawidlowe|B
Wskaż stwierdzenie prawidlowe:|Nieprawidlowy zapis EEG stanowi podstawe rozpoznania padaczki|Stan padaczkowy przebiega zawsze z drgawkami|Guzy przerzutowe sa najczestszymi pierwotnymi guzami mozgu|Wszystkie ww sa falszywe|D
Zespol opuszkowy charakteryzuje sie - poza:|Dyzartria|Dysfagia|Niedowadem podniebienia|Wzmozeniem odruchu zuchwoweego|D
Otepienie podkorowe nie wystepuje:|W chorobie Parkinsona|W chorobie Picka|W chorobie Huntingtona|W chorobie Wilsona|B
Objaw uszkodzenia nerwu siodmego (twarzowy):|Oczoplasz|Oslabienie czucia na twarzy|Dretwieniemialowiny usznej|Niemoznosc zamkniecia oczu|D
Ogniska hypodensyjne w platach skroniowych charakterystyczne dla:|Spiaczkoweego zapalenia mozgu|Kleszczoweego zapalenia mozgu|Opryszcoweego zapalenia mozgu|Przyzakaznego zapalenia mozgu|C
Struktura mozgowa szczegolnie wrazliwa na niedotlenienie:|2 i 4 warstwa kory mozgowej|Jadra mostu|Sektor CA1 hipokampa|1 warstwa kory mozgowej|C
W zespole ogona konskiego nie wystepuje:|Silne bole krocza|Spodenkowe zaburzenia czucia|Zaburzenia zwieraczy|Wygoro'wanie odruchow ze sciegna Achillesa|D
Symetryczne wiotle niedowlady konczyn dotyczace glownie odcinkow dystalnych wystepuja w:|Zespole miopatycznym|Zespole wielonerwowym (Guillaina-Barego)|Zespole korzeniowym|Zespole ogona konskiego|B
Obecnosc zespolow iglicy z fala wolna 3 Hz jest znamienne dla:|Malych napadow mioklonicznych|Napadow nieswiadomosci|Padaczki skroniowej|Padaczki Rolanda|B
Afazja czuciowa aleksja i agrafia ujawnia sie przy niedroznosci:|Tetnicy katowej|Tetnicy ciemieniowej przedniej|Tetnicy tylnej mozgu|Tetnicy naczyniowkowej przedniej|A
Zawał zatokowy we wzgorzu manifestuje sie:|Polowiczymi zaburzeniami czucia|Dyzartria z niesprawnoscia reki|Polowiczym niedowadem z ataksja|Niedowadem polowiczym z afazja|A
Przejsciowe napady ischemiczne obejmuja najczesciej obszar:|Ukrwienia tetnicy szyjnej|Ukrwienia tetnicy podstawnej lub kregowej|Ukrwienia tetnicy mozgowej przedniej|Ukrwienia tetnicy tylnej mozgu|A
Typowa cecha kliniczna choroby Charcota-Mariea-Tootha nie jest:|Niedowlad i zanik miesni konczyn|Brak odruchow scieggnistych konczyn dolnych|Zniesienie czucia powierzchniowego na konczynych dolnych|Powoli postepujacy przebieg bez ciuzkiego inwalidztwa|C
Niemodyfikowalne czynniki ryzyka udaru mozgu to:|Rasa, wiek, obciazenie osobnicze i rodzinne udarem, plec|Rasa, migotanie przedsionkow, nikotynizm, plec|Plec, cukrzyca, obciazenie osobnicze udarem, migotanie przedsionkow|Wiek, nadcisnienie tetnicze, cukrzyca, rasa|A
W diagnostyce polineuropatii wykorzystuje sie:|Elektromiografie|Wszystkie powyzsze sa prawidlowe|Elektroneurografie|Badanie plynuu mozgowo-rdzeniowego|B
Zespoly paraneoplastyczne wystepuja w przebiegu:|Chorob nowotworowych|Stwardnienia rozsianego|Chorob naczyniowych mozgu|Chorob zakaznych ukladu nerwowego|A
Glowne czynniki ryzyka udaru mozgu to:|Wiek, nadcisnienie, choroba zwyrodnieniowa stawu biodrowego|Migotanie przedsionkow, wiek, nadcisnienie tetnicze|Cukrzyca, uraz glowy, depresja|Depresja, choroba Parkinsona, nadcisnienie|B
Skala Glasgow sluzy do oceny (pytanie 111):|Poziomu uszkodzenia rdzenia kregowego|Stopnia zaburzen swiadomosci|Adiadochokinezy|Sily miesniowej|B
Typowa cecha drzenia samoistnego nie jest:|Brak objawow mozdzkowcowych i pozapiramidowych|Wystepowanie rodzinne|Drzenie rak|Nasilenie objawow po spożyciu alkoholu|D
Do rozpoznania zespolu otepiennego konieczne jest zaburzenia pamieci plus - nieprawdziwe jest:|Zaburzen behawioralnych|Innych wyzszych czynnosci korowych|Wplywu zaburzen na funkcjonowanie spoleczne|Objawow psychiatrycznych|D
Do typowych objawow zapalenia mozgu nie nalezy:|Drazliwosc, zaburzenia osobowosci|Sennosc, zaburzenia swiadomosci|Niedowlad wiotki konczyn|Drgawki|C
Polineuropatie demielinizacyjna rozpoznajemy na podstawie:|Elektromiograficznego badania miesni|Proby stymulacyjnej elektromiograficznej|Badania szybkosci przewodzenia w nerwach|Badania Jittera|C
Najczestszy objaw udaru mozgu:|Uszkodzenie nerwu twarzowego typu obwodowego|Afazja|Niedowlad konczyn|Bole i zawroty glowy|C
Stan padaczkowy:|Zawsze przebiega z towarzyszacymi drgawkami konczyn i tuowia|Do jego przerwania stosuje sie doustne leki|Nie moze wystapic u pacjentow z napadami czesciowymi prostymi|Jest stanem zagrozenia zycia i wymaga pilnej hospitalizacji|D
Pacjent z cukrzyca, piekace bole i dretwieniestop i rak, zaniki miesni w odcinkach dystalnych, arefleksja. Rozpoznanie:|Uszkodzenie rdzenia kregowego|Miopatia|Zespol korzeniowy|Polineuropatia|D
Najczesciej wystepujace nowotwory mozgu u doroslych:|Gwiazdzdniaki wlosowatokomorkowe, skapodrzewiaki, chloniaki|Osloniaki, wysciolczaki, oponiaki|Guzy przerzutowe, glejaki wielopostaciowe, oponiaki|Wysciolczaki, rdzeniaki, zoltakogwiazddziaki pleomorficzne|C
Polimorfizm genu APO E jest najwazniejszym genetycznym czynnikiem ryzyka zachorowania na:|Chorobe Creutzfeldta-Jacoba|Chorobe Alzheimera|Plasawice Huntingtona|Zespol Lamberta-Eatona|B
Ktora choroba stwarza szanse na leczenie przyczynowe:|Choroba Alzheimera|Plasawica Huntingtona|Choroba Parkinsona|Miastenia|D
Ktory parametr nie ma znaczenia przy kwalifikacji do terapii trombolitycznej:|Wiek powyzej 18 lat|Wiek ponizej 80 lat|Czas od objawow ponizej 4,5h|Duzy zabieg operacyjny w ciagu ostatnich 3 miesiecy|B
Udzial pielegniarki w diagnostyce zapalenia opon nie obejmuje:|Wykonywania proby tuberkulinowej|Przeprowadzenia anamnezy pielegniarskiej|Przygotowania pacjenta do nakluciao ledwiowego|Wszystkich wymienionych|A
Prawidlowa pozycja pacjenta przytomnego z niedokrwiennym udarem mozgowym to:|Pozycja bezpieczna|Pozycja plaska na plecach|Pozycja plaska na plecach z glowa obnizona o 30-40 stopni|Pozycja plaska na plecach z glowa uniesiona o 20-30 stopni|D
Pozycja lezaca na brzuchu po nakluciau ledwiowym zapobiega:|Unoszeniu glowy przez pacjenta|Wyciekowi plynuu mozgowo-rdzeniowego przez miejsce wprowadzenia igly|Wystepowaniu nudnosci i wymiotow|Bolowi glowy|B
